date,sales
2016-06-01,56.3
2016-06-02,57.25
2016-06-03,74.54
2016-06-04,32.06
2016-06-06,49.34
2016-06-07,40.22
2016-06-08,102.93
2016-06-09,69.66
2016-06-10,61.6
2016-06-11,34.62
2016-06-13,93.42
2016-06-14,72.18
2016-06-15,58.1
2016-06-16,99.54
2016-06-17,48.78
2016-06-18,18.36
2016-06-20,55.0
2016-06-21,68.83
2016-06-22,140.34
2016-06-23,75.81
2016-06-24,61.67
2016-06-25,30.95
2016-06-27,64.93
2016-06-28,40.95
2016-06-29,46.34
2016-06-30,68.02
2016-07-01,52.79
2016-07-02,15.98
2016-07-04,80.31
2016-07-05,77.59
2016-07-06,194.18
2016-07-07,94.97
2016-07-08,61.87
2016-07-09,23.09
2016-07-11,73.95
2016-07-12,50.06
2016-07-13,48.66
2016-07-14,43.5
2016-07-15,59.78
2016-07-16,34.85
2016-07-18,142.79
2016-07-19,91.96
2016-07-20,78.59
2016-07-21,69.76
2016-07-22,74.71
2016-07-23,35.98
2016-07-25,111.62
2016-07-26,98.57
2016-07-27,54.04
2016-07-28,62.62
2016-07-29,104.63
2016-07-30,45.81
2016-08-01,82.01
2016-08-02,67.52
2016-08-03,83.76
2016-08-04,61.44
2016-08-05,80.92
2016-08-06,27.49
2016-08-08,103.51
2016-08-09,91.44
2016-08-10,49.8
2016-08-11,64.68
2016-08-12,29.98
2016-08-13,22.08
2016-08-16,95.01
2016-08-17,75.16
2016-08-18,83.82
2016-08-19,56.54
2016-08-20,31.11
2016-08-22,68.61
2016-08-23,78.73
2016-08-24,76.01
2016-08-25,59.01
2016-08-26,46.18
2016-08-27,22.94
2016-08-29,67.33
2016-08-30,45.73
2016-08-31,94.82
2016-09-01,44.62
2016-09-02,62.57
2016-09-03,24.38
2016-09-05,47.34
2016-09-06,98.5
2016-09-07,55.31
2016-09-08,45.66
2016-09-09,51.29
2016-09-10,16.84
2016-09-12,59.28
2016-09-13,58.27
2016-09-14,73.66
2016-09-15,60.85
